country,adult_literacy_rate,gross_national_income_per_capita_ppp_international,population_in_thousands_total,population_median_age_years,per_capita_total_expenditure_on_health_ppp_int,per_capita_government_expenditure_on_health_ppp_int,healthy_life_expectancy_hale_at_birth_years_both_sexes,life_expectancy_at_birth_years_both_sexes,population_with_sustainable_access_to_improved_sanitation_total,aid_received_total,income_per_person,population_proportion_over_60,population_proportion_under_15,contraceptive_prevalence,total_expenditure_on_health_as_percentage_of_gross_domestic_product,children_per_woman,infant_mortality_rate,patents_granted
Afghanistan,28,,26088,16,29,8,36,42,30,2750000000,874,4,47,10.3,5.4,7.07,165,
Albania,98.7,6000,3172,29,358,127,61,71,97,319000000,5369,13,26,75.1,6.2,2.06,16,502
Azerbaijan,98.8,5430,8406,28,218,67,57,64,80,225000000,4648,9,24,55.4,3.4,1.82,74,19
Liberia,60,260,3579,16,39,25,35,44,32,233000000,383,4,47,,5.6,6.77,157,30
Libyan Arab Jamahiriya,85,11630,6039,25,270,189,64,72,97,24200000,10804,6,30,,2.9,2.72,18,
Lithuania,99.6,14550,3408,38,1041,728,63,71,,250000000,14085,21,16,,6.2,1.26,7,1918
Luxembourg,,60870,461,38,5773,5233,72,80,100,,70014,19,18,,7.2,1.66,4,12176
"Macao, China",,,,,,,,,,12000000,37256,,,,,0.91,,0.38
Macedonia,96.1,7850,2036,35,623,446,63,73,89,229000000,7393,16,19,13.5,8.2,1.43,15,679
Madagascar,70.7,870,19159,18,34,21,49,59,12,914000000,988,5,44,27.1,3.2,4.78,74,15
Malawi,64.1,690,13571,16,70,51,35,50,60,578000000,691,5,47,41.7,12.3,5.59,79,2
Malaysia,88.7,12160,26114,25,500,226,63,72,94,27600000,11466,7,31,,4.3,2.6,10,786
Maldives,96.3,4740,300,22,882,742,58,72,59,77000000,4017,6,33,39,10.1,2.63,28,
Bahamas,,,327,28,1516,775,64,74,100,4780000,23021,10,27,,6.9,,,31
Mali,24,1000,11968,16,65,34,38,46,45,699000000,1027,5,48,8.1,6,6.52,120,
Malta,87.9,20990,405,38,1825,1419,71,79,,6190000,20410,19,17,,8.3,1.37,5,125
Marshall Islands,,8040,58,,607,589,55,63,81,,,6,32,,15.3,,,
Mauritania,51.2,1970,3044,20,45,31,45,58,24,196000000,1691,5,40,8,2.2,4.37,78,
Mauritius,84.3,10640,1252,31,581,292,62,73,94,34200000,10155,10,24,75.9,4.3,1.86,13,3
Mexico,91.6,11990,105342,26,756,327,65,74,81,189000000,11317,9,30,70.9,6.2,2.21,30,6616
Micronesia (Federated States of),,6070,111,20,491,444,58,69,25,,,5,38,,12,,,
Moldova,99,2660,3833,33,190,107,60,68,79,191000000,2362,15,19,67.8,7.8,1.4,17,230
Monaco,,,33,,7154,5309,73,82,,,,21,18,,4.6,,,
Mongolia,97.8,2810,2605,25,149,124,56,66,50,221000000,2643,6,28,69,5.1,1.87,36,163
Bahrain,86.5,34310,739,29,1008,669,64,75,,57400000,27236,5,26,,3.8,2.29,9,26
Montenegro,,8930,601,35,117,93,,74,91,,,18,19,,6.8,,,
Morocco,52.3,3860,30853,25,273,98,60,72,72,694000000,3547,8,30,63,5.1,2.38,36,327
Mozambique,38.7,660,20971,18,56,39,37,50,31,1280000000,743,5,44,16.5,4.7,5.11,100,
Myanmar,89.9,510,48379,27,43,7,52,60,82,145000000,831,8,27,37,2.3,2.07,75,
Namibia,85,4770,2047,20,338,218,43,61,35,115000000,4547,5,38,43.7,4.9,3.19,46,102
Nauru,,,10,,803,444,55,61,,,2500,6,32,,10.8,,,
Nepal,48.6,1010,27641,20,78,24,52,62,27,425000000,1081,6,38,48,5.7,3.28,49,1
Netherlands,,37940,16379,39,3383,2768,71,80,100,,34724,20,18,,9.3,1.72,4,27482
Netherlands Antilles,,,,,,,,,,18700000,22700.41,,,,,1.85,,
New Caledonia,,,,,,,,,,459000000,31942.83,,,,,2.08,,
Bangladesh,47.5,1230,155991,22,69,26,54,63,36,1340000000,1268,6,35,58.1,3.1,2.83,54,140
New Zealand,,25750,4140,36,2447,1905,71,80,,,24554,17,21,,9.4,1.99,5,2549
Nicaragua,76.7,2720,5532,21,251,137,61,71,48,740000000,2611,6,37,68.6,7.8,2.76,30,136
Niger,28.7,630,13737,16,27,14,36,42,7,511000000,613,5,48,11.2,4,7.19,150,
Nigeria,69,1410,144720,18,50,15,42,48,30,6420000000,1892,5,44,12.6,4.1,5.32,100,170
Niue,,,2,,298,294,60,70,100,,,8,34,,13.6,,,
Norway,,50070,4669,38,4521,3780,72,80,,,47551,20,19,,8.7,1.85,3,2448
Oman,81.4,19740,2546,23,382,321,64,74,87,-5460000,20334,4,33,,2.3,3,10,
Pakistan,49.9,2410,160943,21,51,8,53,63,58,1630000000,2396,6,36,27.6,2,3.52,79,350
Palau,,14340,20,,1084,1003,60,69,67,,,6,32,,10.7,,,
Panama,91.9,8690,3288,26,721,495,66,76,74,19600000,8399,9,30,,7.3,2.56,19,15
Barbados,,15150,293,36,1155,722,66,75,99,-2150000,15837,13,18,,6.7,1.5,11,3
Papua New Guinea,57.3,1630,6202,20,134,111,52,62,45,266000000,1747,4,40,,3.2,3.78,55,
Paraguay,93.2,4040,6016,22,342,131,62,75,70,50800000,3900,7,35,72.8,7.6,3.08,20,26
Peru,87.9,6490,27589,25,300,171,61,73,72,477000000,6466,8,31,71.3,4.3,2.51,23,308
Philippines,92.6,3430,86264,22,223,88,59,68,78,564000000,2932,6,36,48.9,3.3,3.23,25,566
Poland,,14250,38140,37,910,636,66,75,,1520000000,13573,17,16,,6.2,1.23,6,2271
Portugal,93.9,19960,10579,39,2080,1494,69,79,99,,20006,22,16,67.1,10,1.46,4,13840
Puerto Rico,,,,,,,,,,,19725.45,,,,,1.83,,
Qatar,89,,821,31,1426,1115,65,77,100,2180000,68696,3,21,,4.3,2.66,18,
Romania,97.3,10150,21532,37,610,433,63,73,72,914000000,9374,19,15,70,5.7,1.3,16,2357
Russia,99.4,12740,143221,37,638,404,58,66,87,1320000000,11861,17,15,,5.3,,,18114
Belarus,99.6,9700,9742,38,572,428,61,69,93,53900000,8541,18,15,,6.4,1.2,12,691
Rwanda,64.9,730,9464,18,210,134,38,52,23,571000000,813,4,43,17.4,10.4,5.92,100,4
Saint Kitts and Nevis,,12440,50,,654,403,62,71,96,2500000,13677,11,28,,5.8,,,
Saint Lucia,,8500,163,26,421,237,63,75,89,10500000,9279,10,27,,5.9,,,7
Saint Vincent and the Grenadines,,6220,120,25,461,289,61,70,,4410000,6752,9,29,,6,,,2
Samoa,98.6,5090,185,20,232,188,60,68,100,44000000,4872,7,40,,4.9,3.93,24,1
San Marino,,,31,,3297,2765,73,82,,,,26,14,,7.1,,,
Sao Tome and Principe,84.9,1490,155,19,141,120,54,61,24,31900000,1460,6,41,29.3,10.5,3.85,63,
Saudi Arabia,82.9,22300,24175,24,607,468,61,70,,25600000,21220,4,34,,3.4,3.35,21,25
Senegal,39.3,1560,12072,19,72,23,48,59,28,672000000,1676,6,42,11.8,5.4,4.69,61,
Serbia,,9320,9851,37,525,373,,73,92,,,19,18,41.2,7.6,,,
Belgium,,33860,10430,41,3183,2264,71,79,,,32077,22,17,,9.5,1.65,4,20785
Seychelles,91.8,14360,86,,812,602,61,72,,15000000,14202,10,24,,6.8,,12,6
Sierra Leone,34.8,610,5743,18,41,20,29,40,11,344000000,790,5,43,5.3,3.5,6.47,160,4
Singapore,92.5,43300,4382,38,1228,413,70,80,,9140000,41479,13,19,,3.4,1.26,2,7583
Slovakia,,17060,5388,36,1235,913,66,74,100,235000000,15881,16,16,,7,1.25,7,803
Slovenia,99.7,23970,2001,41,2065,1507,69,78,,62200000,23004,21,14,,8.4,1.28,3,2802
Solomon Islands,,1850,484,20,107,99,56,67,32,198000000,1712,5,40,,4.7,3.87,56,
Somalia,,,8445,18,18,8,37,55,23,237000000,932.96,4,44,,2.6,6.04,91,
South Africa,82.4,8900,48282,24,869,364,44,51,59,680000000,8477,7,32,60.3,8.6,2.64,55,5453
Spain,97.2,28200,43887,39,2388,1732,73,81,100,,27270,22,14,,8.1,1.41,4,26626
Sri Lanka,90.7,3730,19207,30,213,105,62,72,86,1190000000,3481,10,24,70,4.2,1.88,12,160
Belize,70.3,7080,282,21,426,254,60,69,47,12000000,7290,6,37,,5.3,2.93,15,
Sudan,60.9,1780,37707,20,61,23,49,60,35,1830000000,2249,6,40,7.6,3.8,4.23,62,79
Suriname,89.6,7720,455,26,361,151,59,68,82,43900000,7234,9,29,42.1,7.4,2.42,30,
Swaziland,79.6,4700,1134,19,353,219,34,42,50,46300000,4384,5,39,46,5.9,3.45,110,70
Sweden,,34310,9078,40,3119,2533,73,81,100,,31995,24,17,,8.9,1.8,3,24546
Switzerland,,40840,7455,40,4312,2598,73,82,100,,35520,21,16,,11.3,1.42,4,21852
Syria,80.8,4110,19408,21,109,52,62,72,92,78700000,4059,5,36,58.3,3.9,,,62
Taiwan,,,,,,,,,,,26069,,,,,,5,
Tajikistan,99.5,1560,6640,20,71,16,55,64,92,251000000,1413,5,39,37.9,5,3.35,59,27
Tanzania,69.4,980,39459,18,45,27,40,50,33,1480000000,1018,5,44,26.4,5.5,5.16,76,8
Thailand,92.6,7440,63444,33,346,223,60,72,96,-165000000,6869,12,21,71.5,3.5,1.85,8,541
Benin,34.7,1250,8760,18,46,25,44,55,30,346000000,1390,4,44,18.6,5.3,5.42,89,
Timor-Leste,,5100,1114,17,169,150,50,66,41,,,5,45,10,16.4,,,
Togo,53.2,770,6410,18,70,20,45,57,12,82800000,888,5,43,25.7,5.5,4.8,71,
Tonga,98.9,5470,100,21,289,218,62,71,96,31800000,5135,9,37,,5.4,3.83,20,
Trinidad and Tobago,98.5,16800,1328,29,811,438,62,69,92,-2080000,15352,10,22,38.2,4.2,1.64,32,17
Tunisia,74.3,6490,10215,27,488,214,62,72,85,365000000,6461,9,25,62.6,5.3,1.93,20,146
Turkey,87.4,8410,73922,27,645,461,62,73,88,459000000,7786,8,28,71,5.6,2.14,26,1885
Turkmenistan,98.8,3990,4899,24,259,172,54,63,,29300000,4247,6,31,61.8,4.8,2.5,47,95
Tuvalu,,,10,,205,189,53,65,89,,,8,34,,11.4,,,
Uganda,68.1,880,29899,15,143,39,43,50,33,1180000000,991,4,49,23.7,7.2,6.46,79,92
Ukraine,99.4,6110,46557,39,542,298,59,67,93,396000000,5583,21,14,,7,1.22,20,11670
Bermuda,,,,,,,,,,78750,69916.79,,,,,,,
United Arab Emirates,88.5,31190,4248,30,673,491,64,78,97,5360000,33487,2,20,,2.6,2.31,8,
United Kingdom,,33650,60512,39,2784,2434,71,79,,,31580,22,18,82,8.4,1.82,5,52593
United States of America,,44070,302841,36,6714,3074,69,78,100,,41674,17,21,72.8,15.3,2.05,7,167334
Uruguay,96.8,9940,3331,33,989,430,66,75,100,14600000,9266,18,24,77,8.2,2.12,12,55
Uzbekistan,,2190,26981,23,177,89,59,68,96,169000000,1975,6,32,64.9,4.7,2.49,40,515
Vanuatu,75.5,3480,221,20,139,90,59,69,50,39500000,3477,5,39,,4.2,3.74,31,
Venezuela,93,10970,27191,25,396,196,64,74,83,48700000,9876,8,31,,5.1,,,756
Vietnam,90.3,2310,86206,25,264,86,61,72,65,1910000000,2142,8,29,78.5,6.6,2.14,16,727
West Bank and Gaza,,,,,,,,,,1120000000,3542,,,,,5.09,21,
Yemen,54.1,2090,21732,17,82,38,49,61,46,336000000,2276,4,45,23.1,4.6,5.5,76,
Algeria,69.9,5940,33351,24,188,146,61,71,94,371000000,6011,7,29,61.4,3.6,2.38,34,111
Bhutan,,4000,649,23,107,73,53,64,52,89600000,3694,7,32,30.7,4.5,2.19,65,
Zambia,68,1140,11696,17,62,29,35,43,52,935000000,1175,5,46,34.2,5.2,5.18,102,63
Zimbabwe,89.5,,13228,19,147,77,34,43,46,376000000,538,5,39,60.2,8.4,3.19,68,78
Bolivia,86.7,3810,9354,21,204,128,54,66,43,632000000,3618,7,38,58.4,6.6,3.5,52,47
Bosnia and Herzegovina,96.7,6780,3926,38,794,454,64,75,95,553000000,6506,19,17,47.5,8.3,1.23,13,1
Botswana,81.2,11730,1858,21,635,487,36,52,47,47600000,12057,5,35,44.4,7.2,2.9,87,33
Brazil,88.6,8700,189323,27,765,367,60,72,77,196000000,8596,9,28,,7.5,2.25,20,4740
Brunei Darussalam,92.7,49900,382,26,394,314,65,77,,770000,47465,5,29,,1.8,2.29,8,251
Bulgaria,98.2,10270,7693,41,741,443,65,73,99,620000000,9353,23,14,,6.9,1.31,12,376
Burkina Faso,23.6,1130,14359,17,87,50,36,47,13,681000000,1140,4,46,13.8,6.4,6,121,
Burundi,59.3,320,8173,17,15,4,35,49,41,365000000,420.08,4,45,19.7,3,6.8,109,5
Cambodia,73.6,1550,14197,20,167,43,48,62,28,541000000,1453,5,37,40,6,3.18,67,
Andorra,,,74,,2910,2054,72,82,100,,,22,14,,6.3,,,
Cameroon,67.9,2060,18175,19,80,23,41,51,51,417000000,1995,5,41,26,5.2,4.31,87,
Canada,,36280,32577,39,3672,2585,72,81,100,,35078,18,17,,10,1.53,5,12951
Cape Verde,81.2,2590,519,20,278,227,61,70,41,162000000,2831,5,39,,5.6,3.37,26,
Central African Republic,48.6,690,4265,18,55,20,37,48,31,95700000,675,6,42,27.9,3.9,,,
Chad,25.7,1170,10468,17,40,14,41,46,9,382000000,1749,5,46,2.8,3.6,6.2,124,
Chile,95.7,11300,16465,31,697,367,67,78,94,152000000,12262,12,24,60.7,5.3,1.94,8,601
China,90.9,4660,1328474,33,342,144,64,73,65,1800000000,4091,11,21,90.2,4.5,1.73,21,21473
Colombia,92.8,6130,45558,26,626,534,62,74,78,626000000,6306,8,30,78.2,7.3,2.22,17,372
Comoros,,1140,818,19,35,19,55,65,35,24900000,1063,4,42,25.7,3.2,4.3,53,
"Congo, Dem. Rep.",67.2,270,60644,16,18,7,37,47,31,1830000000,264,4,47,31.4,4.3,6.7,129,14
Angola,67.4,3890,16557,17,71,61,33,41,50,437000000,3533,4,46,6.2,2.7,6.43,154,
"Congo, Rep.",84.4,2420,3689,19,31,13,46,54,20,1440000000,3621,5,42,44.3,2.1,4.49,79,
Cook Islands,,,14,,566,518,62,73,100,,9000,8,34,,4.5,,,
Costa Rica,94.9,9220,4399,26,743,565,67,78,96,29600000,8661,8,28,,7,2.1,11,6
Cote d'Ivoire,48.7,1580,18914,19,66,15,39,53,24,110000000,1575,5,41,,3.8,4.46,91,
Croatia,98.1,13850,4556,41,1084,869,67,76,99,127000000,13232,22,15,,7.5,1.35,6,286
Cuba,99.8,,11267,36,363,329,68,78,98,88800000,7407.24,16,19,73.3,7.1,1.49,5,70
Cyprus,96.8,25060,846,35,1696,759,68,80,100,59900000,24473,17,19,,6.3,1.61,4,4332
Czech Republic,,20920,10189,39,1490,1309,68,77,99,279000000,20281,20,14,,6.8,,,1805
Denmark,,36190,5430,40,3349,2812,70,79,100,,33626,22,19,,9.5,1.8,4,16469
Djibouti,,2180,819,20,100,75,43,56,67,76300000,1964,5,38,17.8,6.7,3.95,88,
Antigua and Barbuda,,15130,84,,652,439,62,73,95,7790000,14579,11,28,,4.9,,11,
Dominica,,7870,68,,481,311,64,74,83,20900000,8576,11,28,,6.7,,13,
Dominican Republic,87,5550,9615,24,449,140,60,70,79,77000000,5173,8,33,69.8,6,,,
Ecuador,91,6810,13202,24,297,130,62,73,84,228000000,6533,9,32,72.7,5.4,2.58,22,21
Egypt,71.4,4940,74166,23,316,129,59,68,66,995000000,5049,7,33,59.2,6.3,,,757
El Salvador,74.1,5610,6762,24,387,227,60,71,86,200000000,5403,8,34,67.3,7,2.68,23,61
Equatorial Guinea,87,16620,496,19,280,219,46,46,51,38500000,11999,6,42,,1.5,5.36,123,
Eritrea,,680,4692,18,28,10,50,63,5,355000000,685,4,43,8,4.5,5.05,50,
Estonia,99.8,18090,1340,39,989,734,64,73,95,135000000,16654,22,15,,5,1.49,6,358
Ethiopia,35.9,630,81021,18,22,13,41,56,11,1910000000,591,5,44,14.7,4.9,5.29,80,1
Fiji,,4450,833,24,280,199,59,69,71,64000000,4209,7,33,,4,2.75,16,
Argentina,97.2,11670,39134,29,1665,758,65,75,91,97300000,11063,14,26,65.3,10.1,2.25,14,1587
Finland,,33170,5261,41,2472,1940,71,79,100,,30469,22,17,,7.6,1.83,3,11589
France,,32240,61330,39,3554,2833,72,81,,,29644,21,18,81.8,11.1,1.89,4,53415
French Polynesia,,,,,,,,,,507000000,26016.11,,,,,2.26,,
Gabon,83.8,11180,1311,22,252,198,51,58,36,52300000,12742,7,35,32.7,3.7,3.06,60,
Gambia,,1110,1663,20,56,33,50,59,52,61300000,726,6,41,9.6,4.3,,,53
Georgia,,3880,4433,36,355,76,64,70,93,309000000,3505,18,18,47.3,8.4,1.41,29,256
Germany,,32680,82641,42,3328,2548,72,80,100,,30496,25,14,,10.4,1.36,4,61153
Ghana,57.9,1240,23008,20,100,36,50,57,10,1130000000,1225,6,39,25.2,6.2,3.84,75,65
Greece,96,30870,11123,40,3101,1317,71,80,98,,25520,23,14,,9.9,1.33,4,13235
Grenada,,8770,106,23,596,387,59,68,97,52700000,9128,10,33,,7,2.3,17,
Armenia,99.4,4950,3010,32,272,112,61,69,91,193000000,3903,14,20,53.1,4.7,1.39,23,151
Guatemala,69.1,5120,13029,18,259,98,57,68,84,254000000,4897,6,43,43.3,5.3,4.15,32,6
Guinea,29.5,1130,9181,18,116,14,45,53,19,199000000,946,5,43,9.1,5.7,5.44,100,
Guinea-Bissau,,460,1646,16,40,10,41,48,33,79100000,569,5,48,7.6,6.2,7.07,121,
Guyana,,3410,739,27,264,223,55,64,81,138000000,3232,9,31,34.6,5.5,2.33,47,3
Haiti,,1070,9446,21,96,65,44,61,19,502000000,1175,6,38,32,8,3.54,63,7
Honduras,80,3420,6969,20,241,116,58,70,66,679000000,3266,6,39,65.2,7.4,3.31,24,146
"Hong Kong, China",,,,,,,,,,6081250,35680,,,,,0.97,,1088
Hungary,,16970,10058,39,1382,978,65,73,100,303000000,17014,21,15,,7.6,1.28,6,1386
Iceland,,33740,298,35,3319,2758,73,81,100,,35630,16,22,,9.3,2.05,2,42
India,61,2460,1151751,24,109,21,53,63,28,1730000000,2126,8,33,56.3,4.9,2.81,59,2160
Australia,,33940,20530,37,3122,2097,73,82,100,,32798,18,19,,8.7,1.79,5,14496
Indonesia,90.4,3310,228864,27,87,44,58,68,52,2520000000,3234,8,28,60.3,2.2,2.18,28,631
Iran (Islamic Republic of),82.4,9800,70270,24,731,406,58,71,83,104000000,10692,6,28,73.8,7.8,,,881
Iraq,74.1,,28506,19,124,90,50,56,76,22100000000,3200,5,41,49.8,3.8,4.26,37,46
Ireland,,34730,4221,34,3082,2413,70,80,,,38058,15,21,,7.5,1.96,4,14203
Israel,,23840,6810,29,2263,1477,71,81,,479000000,23846,13,28,,7.8,2.75,4,1474
Italy,98.4,28970,58779,42,2623,2022,73,81,,,27750,26,14,,9,1.38,4,34899
Jamaica,79.9,7050,2699,25,240,127,65,72,83,39200000,7132,10,31,69,5.1,2.43,26,206
Japan,,32840,127953,43,2514,2067,75,83,100,,30290,27,14,52,7.9,1.27,3,120018
Jordan,91.1,4820,5729,21,611,257,61,71,85,668000000,4294,5,37,55.8,9.9,3.13,22,58
Kazakhstan,99.5,8700,15314,29,330,214,56,64,97,225000000,8699,10,24,,3.7,2.31,27,1280
Austria,,36040,8327,40,3545,2729,71,80,100,,34108,22,16,,9.9,1.42,4,20390
Kenya,73.6,1470,36553,18,105,51,44,53,42,767000000,1359,4,43,39.3,4.6,4.96,79,100
Kiribati,,6230,94,,290,268,54,65,33,27800000,3377,6,32,,12.7,,48,2
"Korea, Dem. Rep.",,,23708,32,49,42,59,66,59,86800000,1596.68,14,24,68.6,3.5,1.85,42,27
"Korea, Rep.",,22990,48050,36,1487,819,68,79,,-68100000,21342,14,18,,6.5,1.21,5,45298
Kuwait,93.3,48310,2779,29,535,422,67,78,,2600000,44947,3,24,,2.2,2.18,10,107
Kyrgyzstan,98.7,1790,5259,24,127,55,55,66,93,268000000,1728,7,30,,6.4,,,65
Lao People's Democratic Republic,68.7,1740,5759,20,85,18,47,60,48,296000000,1811,5,39,32.2,3.6,,,
Latvia,99.7,14840,2289,40,974,615,63,71,78,162000000,13218,22,14,,6,1.29,8,1650
Lebanon,,9600,4055,27,608,285,60,70,98,244000000,10212,10,28,,8.9,2.21,27,
Lesotho,82.2,1810,1995,19,143,88,31,42,36,68600000,1415,7,40,37.3,6.7,3.37,102,70
